order_id,customer_id,product_id,store_id,quantity,unit_price,discount,order_date,payment_method,status,raw_notes,customer_name,customer_email,customer_city,customer_age,product_name,category,brand,store_name,store_city,store_manager
1,1084,242,310,4,235.27,0.08,2024-10-20,Credit Card,Cancelled,See decide crime relationship project box.,Heather Mora,qweaver@fuller-jones.com,Kisumu,35,Think,Electronics,BrandD,Wheeler Inc,Kisumu,Mark Fox
1633,1075,242,310,5,341.49,0.0,2025-01-13,Mobile Money,Cancelled,Character energy hot hit.,Tony Barron,kevinpierce@mcdonald.info,Mombasa,47,Think,Electronics,BrandD,Wheeler Inc,Kisumu,Mark Fox
4791,1090,242,310,1,336.61,0.17,2024-11-15,Mobile Money,Completed,Fire group change far prove.,Nicholas Jenkins,lucerodeborah@walker.com,Kisumu,66,Think,Electronics,BrandD,Wheeler Inc,Kisumu,Mark Fox
3459,1071,242,310,2,191.04,0.1,2025-03-02,Credit Card,Pending,Get response save seat example commercial.,Zachary Estes,lewisjessica@yahoo.com,Nairobi,22,Think,Electronics,BrandD,Wheeler Inc,Kisumu,Mark Fox
3365,1046,242,310,2,256.6,0.05,2024-08-22,Mobile Money,Cancelled,Ability world party military floor sure down.,Russell Sims Jr.,laura71@pierce-schmidt.org,Nairobi,42,Think,Electronics,BrandD,Wheeler Inc,Kisumu,Mark Fox
968,1036,242,310,5,324.48,0.1,2025-03-27,Credit Card,Pending,Direction human city.,Roy Nichols,lorettaowen@stewart.com,Nairobi,30,Think,Electronics,BrandD,Wheeler Inc,Kisumu,Mark Fox
3244,1016,242,310,4,59.91,0.02,2025-03-20,Mobile Money,Cancelled,Respond wall can nor.,Tammy Harper,kennethmays@yahoo.com,Kisumu,41,Think,Electronics,BrandD,Wheeler Inc,Kisumu,Mark Fox
4111,1100,242,310,1,208.16,0.09,2024-10-11,Cash,Completed,Husband star tree ability interesting.,Gary Yates,carrie48@hotmail.com,Nakuru,54,Think,Electronics,BrandD,Wheeler Inc,Kisumu,Mark Fox
429,1080,234,310,4,306.41,0.13,2024-10-28,Mobile Money,Cancelled,Listen eye prove dream knowledge debate response.,Nicholas Andrews,becky11@yahoo.com,Mombasa,60,Concern,Groceries,BrandB,Wheeler Inc,Kisumu,Mark Fox
4140,1042,234,310,5,369.19,0.03,2025-02-11,Credit Card,Pending,Century simple side his let.,Tammy English,jeremybird@cunningham-wright.com,Nairobi,28,Concern,Groceries,BrandB,Wheeler Inc,Kisumu,Mark Fox
3134,1085,234,310,1,190.11,0.03,2025-04-14,Credit Card,Cancelled,Item language yard improve machine chair.,Tammy Quinn,emily95@miller-perkins.info,Nairobi,59,Concern,Groceries,BrandB,Wheeler Inc,Kisumu,Mark Fox
1342,1071,234,310,4,118.75,0.2,2024-11-24,Cash,Cancelled,Various summer bag gun work.,Zachary Estes,lewisjessica@yahoo.com,Nairobi,22,Concern,Groceries,BrandB,Wheeler Inc,Kisumu,Mark Fox
4977,1032,234,310,2,473.21,0.0,2024-11-17,Mobile Money,Pending,Want despite clear run support speech cultural condition.,Michael Thompson,williamskevin@hotmail.com,Mombasa,23,Concern,Groceries,BrandB,Wheeler Inc,Kisumu,Mark Fox
2949,1088,234,310,3,406.73,0.01,2024-05-02,Mobile Money,Pending,Still this ability crime director heavy.,John Holt DDS,garretttheodore@baker.com,Nairobi,42,Concern,Groceries,BrandB,Wheeler Inc,Kisumu,Mark Fox
2397,1075,218,310,2,12.85,0.01,2025-03-13,Mobile Money,Completed,Financial population commercial peace middle the after.,Tony Barron,kevinpierce@mcdonald.info,Mombasa,47,Position,Furniture,BrandB,Wheeler Inc,Kisumu,Mark Fox
3824,1015,218,310,4,225.32,0.14,2024-09-28,Credit Card,Pending,Chance threat system response heavy cell southern.,Karen Edwards,orodriguez@gmail.com,Nakuru,37,Position,Furniture,BrandB,Wheeler Inc,Kisumu,Mark Fox
4678,1023,218,310,5,158.85,0.12,2025-01-11,Credit Card,Cancelled,Reason size two activity.,Mrs. Jessica Robinson,mcgrathchristopher@hall-green.com,Nakuru,61,Position,Furniture,BrandB,Wheeler Inc,Kisumu,Mark Fox
255,1049,218,310,3,40.73,0.11,2024-12-28,Credit Card,Completed,Air surface every avoid.,Jodi Davis,scastaneda@delacruz.info,Kisumu,22,Position,Furniture,BrandB,Wheeler Inc,Kisumu,Mark Fox
863,1039,218,310,5,450.31,0.11,2024-06-30,Mobile Money,Completed,Spend task product become.,Dylan Davis,monicachang@gmail.com,Mombasa,55,Position,Furniture,BrandB,Wheeler Inc,Kisumu,Mark Fox
4471,1027,218,310,1,116.35,0.06,2024-09-30,Mobile Money,Pending,Girl exist draw from concern child research.,Mrs. Lori Russell,lhill@gmail.com,Kisumu,50,Position,Furniture,BrandB,Wheeler Inc,Kisumu,Mark Fox
1446,1089,218,310,4,449.02,0.08,2024-05-14,Mobile Money,Pending,Dark road that according.,Alexis Barrera,amanda86@yahoo.com,Nairobi,39,Position,Furniture,BrandB,Wheeler Inc,Kisumu,Mark Fox
2233,1061,218,310,5,342.34,0.06,2024-08-04,Credit Card,Cancelled,Sea something activity blood focus usually computer.,Henry Fields,zwebb@snyder-love.com,Nakuru,53,Position,Furniture,BrandB,Wheeler Inc,Kisumu,Mark Fox
823,1076,229,310,5,361.36,0.13,2024-08-18,Credit Card,Pending,Huge camera media.,Jamie Henderson,wrodriguez@kemp.com,Nairobi,24,Bed,Groceries,BrandB,Wheeler Inc,Kisumu,Mark Fox
77,1045,229,310,3,207.46,0.13,2024-12-10,Mobile Money,Completed,Vote remember themselves make practice.,Richard Roberts,tina04@noble.com,Eldoret,67,Bed,Groceries,BrandB,Wheeler Inc,Kisumu,Mark Fox
